YEAR,TEAM NO,TEAM,SEED,ROUND,RPPF RATING RANK,RPPF RATING,NPB RATING RANK,NPB RATING,RADJ O RANK,RADJ O,RADJ D RANK,RADJ D,RADJ EM RANK,RADJ EM,R SOS RANK,R SOS,STROE RANK,STROE,STRDE RANK,STRDE,STRT+ RANK,STREM RANK,STREM
2024,1067,Connecticut,1,1,1,0.9859,2,0.9818,17,118.5,49,97.1,,21.4,18,0.7509,6,106.18,21,87.29,8,2,18.89
2024,1066,Creighton,3,16,12,0.9156,12,0.9309,19,117.7,105,101.1,,16.6,54,0.7087,16,98.05,28,88.39,14,10,9.66
2024,1065,Dayton,7,32,35,0.8413,32,0.9006,60,110.8,9,90.8,,20,27,0.7316,43,90.69,153,100.15,88,25,-9.46
2024,1064,Drake,10,64,54,0.8095,51,0.8767,57,110,47,95.1,,14.9,37,0.7218,37,91.8,76,93.69,60,50,-1.89
2024,1063,Duke,4,8,8,0.9236,10,0.941,9,124.4,68,100.7,,23.7,57,0.7172,12,100.55,30,89.09,13,7,11.46
2024,1062,Duquesne,11,32,68,0.7835,75,0.8491,11,121.3,53,99.6,,21.7,76,0.7189,176,77.06,60,92.01,73,85,-14.95
2024,1061,Florida,7,64,25,0.8676,28,0.9067,21,113.8,29,92.6,,21.2,63,0.7186,7,104.74,29,88.81,24,33,15.93
2024,1060,Florida Atlantic,8,64,48,0.8256,60,0.8696,9,120.4,139,102,,18.4,65,0.7012,17,97.76,103,95.91,76,45,1.85
2024,1059,Gonzaga,5,16,13,0.9105,13,0.9288,22,116,101,101.1,,14.9,66,0.7052,10,102.2,39,89.99,18,16,12.21
2024,1058,Grambling St.,16,64,279,0.4674,284,0.609,93,106.7,26,94,,12.7,138,0.6046,313,65.35,235,106.71,255,270,-41.36
2024,1057,Grand Canyon,12,32,62,0.7916,67,0.863,211,102.3,147,103.5,,-1.2,134,0.6231,56,89.31,48,90.81,43,52,-1.5
2024,1056,Houston,1,16,5,0.9518,6,0.9599,188,103.3,45,97,,6.3,299,0.5064,44,90.69,6,79.32,2,1,11.37
2024,1055,Howard,16,68,271,0.4823,280,0.6157,157,103.9,165,102.4,,1.5,236,0.5246,179,76.98,315,112.63,307,272,-35.65
2024,1054,Illinois,3,8,11,0.9158,8,0.9435,181,104.7,133,103.8,,0.9,195,0.5756,3,110.02,51,91.26,24,11,18.76
2024,1053,Iowa St.,2,16,7,0.9248,5,0.9603,40,113.5,15,93.1,,20.4,49,0.7145,66,88.39,1,74.61,1,5,13.78
2024,1052,James Madison,12,32,59,0.7982,52,0.8764,85,107.7,41,94.6,,13.1,22,0.7373,35,92.22,44,90.52,49,66,1.7
2024,1051,Kansas,4,32,36,0.8413,71,0.8565,43,110.9,32,94.6,,16.3,88,0.6541,52,89.5,9,82.69,10,21,6.81
2024,1050,Kentucky,3,64,14,0.8962,15,0.9246,61,113.5,161,105.8,,7.7,56,0.7361,2,111.56,32,89.33,18,23,22.23
2024,1049,Long Beach St.,15,64,182,0.6,209,0.6994,72,111.3,64,98.8,,12.5,178,0.5878,102,83.57,146,99.65,149,163,-16.08
2024,1048,Longwood,16,64,166,0.6245,153,0.757,69,109.6,95,98.8,,10.8,132,0.5902,193,75.9,157,100.6,152,158,-24.7
2024,1047,Marquette,2,16,9,0.9205,9,0.9411,144,106.4,81,99.7,,6.7,257,0.5358,20,97.09,11,85.1,9,13,11.99
2024,1046,McNeese St.,12,64,66,0.7841,27,0.9071,46,111.8,26,94.2,,17.6,67,0.7003,73,86.86,108,96.66,84,58,-9.8
2024,1045,Michigan St.,9,32,20,0.8774,29,0.9048,57,112.9,2,85.6,,27.3,95,0.6463,80,86.02,17,86.18,12,18,-0.16
2024,1044,Mississippi St.,8,64,24,0.8686,23,0.9126,36,114.5,10,91.5,,23,75,0.6743,59,88.95,13,85.73,16,31,3.22
2024,1043,Montana St.,16,68,204,0.5708,183,0.7236,77,110.8,15,93.1,,17.7,82,0.6733,216,73.92,179,102.36,190,211,-28.44
2024,1042,Morehead St.,14,64,131,0.6781,114,0.8064,83,108.1,21,93.4,,14.7,91,0.6537,161,78.09,173,101.96,135,108,-23.87
2024,1041,Nebraska,8,64,28,0.8632,26,0.9106,100,109.4,8,90,,19.4,92,0.6781,32,93.05,26,88.25,18,29,4.8
2024,1040,Nevada,10,64,34,0.8426,34,0.9001,124,105.6,12,89.8,,15.8,34,0.7238,50,89.55,65,92.65,42,34,-3.1
2024,1039,New Mexico,11,64,16,0.8853,14,0.9286,61,109.1,27,94.1,,15,63,0.6753,22,96.5,8,82.66,14,30,13.84
2024,1038,North Carolina,1,16,6,0.9321,7,0.9508,24,118.9,16,94.4,,24.5,59,0.7168,15,99.19,5,79.21,6,9,19.98
2024,1037,North Carolina St.,11,4,57,0.8052,61,0.8692,27,117.5,63,100.2,,17.3,27,0.7544,47,90.18,84,93.99,72,59,-3.81
2024,1036,Northwestern,9,32,41,0.8342,46,0.8828,101,106.1,18,90.5,,15.6,41,0.7422,69,88.03,143,99.42,89,38,-11.39
2024,1035,Oakland,14,32,125,0.6909,92,0.8294,48,113.8,8,93.3,,20.5,35,0.7382,136,80.42,169,101.78,146,136,-21.36
2024,1034,Oregon,11,32,51,0.8147,65,0.8653,201,100.3,118,99.5,,0.8,184,0.5729,57,89.26,71,93.3,60,55,-4.04
2024,1033,Purdue,1,2,2,0.9794,4,0.9735,138,105,169,104,,1,325,0.4899,4,107.96,15,86.05,7,3,21.91
2024,1032,Saint Mary's,5,64,19,0.8794,18,0.915,297,96.7,143,103.4,,-6.7,298,0.5061,100,83.67,61,92.23,30,15,-8.56
2024,1031,Saint Peter's,15,64,205,0.5661,175,0.7316,215,104.2,95,102.1,,2.1,308,0.5166,328,63.4,134,98.6,157,189,-35.2
2024,1030,Samford,13,64,89,0.7592,69,0.8574,51,112.8,222,107.6,,5.2,318,0.5111,27,94.32,43,90.5,64,86,3.82
2024,1029,San Diego St.,5,16,27,0.8639,30,0.903,82,108.1,196,104,,4.1,329,0.4701,75,86.45,12,85.45,11,20,1
2024,1028,South Carolina,6,64,47,0.8262,33,0.9004,31,112.7,138,100.5,,12.2,234,0.5336,86,85.2,118,97.41,83,47,-12.21
2024,1027,South Dakota St.,15,64,132,0.6755,128,0.7879,64,110.2,198,106,,4.2,240,0.5594,134,80.47,168,101.66,142,132,-21.19
2024,1026,Stetson,16,64,234,0.5255,259,0.6477,90,109.9,164,105.3,,4.6,258,0.5442,127,81.02,350,117.96,289,220,-36.94
2024,1025,TCU,9,64,31,0.8526,43,0.89,26,117.8,40,98.9,,18.9,67,0.7264,29,93.61,18,86.63,22,39,6.98
2024,1024,Tennessee,2,8,10,0.9169,11,0.9349,18,114.2,27,92.3,,21.9,44,0.7378,21,96.73,2,77.35,4,6,19.38
2024,1023,Texas,7,32,23,0.8696,31,0.9025,97,109.1,26,95.1,,14,61,0.7004,23,95.83,70,93.16,40,24,2.67
2024,1022,Texas A&M,9,32,37,0.8409,50,0.8787,120,108,35,95.5,,12.5,31,0.7324,41,90.72,78,93.8,56,43,-3.08
2024,1021,Texas Tech,6,64,26,0.8664,20,0.9135,90,107.5,23,92.3,,15.2,10,0.7472,30,93.52,72,93.44,40,22,0.08
2024,1020,UAB,12,64,101,0.7302,112,0.8075,134,104.3,57,96.3,,8,72,0.6645,65,88.44,198,104.01,144,106,-15.57
2024,1019,Utah St.,8,32,53,0.8119,45,0.8867,40,116.9,43,98.4,,18.5,88,0.6666,34,92.38,63,92.52,50,49,-0.14
2024,1018,Vermont,13,64,114,0.7047,118,0.8041,45,115,37,98.7,,16.3,50,0.7421,201,75.12,112,97.03,104,102,-21.91
2024,1017,Virginia,10,68,98,0.7355,111,0.8075,25,113.7,72,97.7,,16,90,0.6534,288,68.13,66,92.69,55,54,-24.56
2024,1016,Wagner,16,64,305,0.4272,298,0.5874,6,118.9,97,98.4,,20.5,68,0.6961,354,57.42,299,111.04,312,300,-53.62
2024,1015,Washington St.,7,32,45,0.829,42,0.8918,26,113,199,103.8,,9.2,64,0.6728,84,85.82,49,90.9,38,42,-5.08
2024,1014,Western Kentucky,15,64,127,0.6854,107,0.812,15,122,82,101.8,,20.2,55,0.7192,97,84.04,22,87.45,80,137,-3.41
2024,1013,Wisconsin,5,64,22,0.873,25,0.9119,1,127.1,9,93.8,,33.3,68,0.726,28,93.95,91,94.65,44,14,-0.7
