filename,row_count,year_min,year_max,extra_columns,total_nulls,null_detail,unique_columns
Conference Stats Home.csv,550,2008,2025,"CONF ID, CONF, BADJ EM, BADJ O, BADJ D, BARTHAG, G, W, L, WIN%, EFG%, EFGD%, FTR, FTRD, TOV%, TOV%D, OREB%, DREB%, OP OREB%, OP DREB%, RAW T, 2PT%, 2PT%D, 3PT%, 3PT%D, BLK%, BLKED%, AST%, OP AST %, 2PTR, 3PTR, 2PTRD, 3PTRD, BADJ T, AVG HGT, EFF HGT, EXP, TALENT, FT%, OP FT%, PPPO, PPPD, ELITE SOS, WAB",0,,
Conference Stats Neutral.csv,548,2008,2025,"CONF ID, CONF, BADJ EM, BADJ O, BADJ D, BARTHAG, G, W, L, WIN%, EFG%, EFGD%, FTR, FTRD, TOV%, TOV%D, OREB%, DREB%, OP OREB%, OP DREB%, RAW T, 2PT%, 2PT%D, 3PT%, 3PT%D, BLK%, BLKED%, AST%, OP AST %, 2PTR, 3PTR, 2PTRD, 3PTRD, BADJ T, AVG HGT, EFF HGT, EXP, TALENT, FT%, OP FT%, PPPO, PPPD, ELITE SOS, WAB",0,,
Conference Stats.csv,550,2008,2025,"CONF ID, CONF, BADJ EM, BADJ O, BADJ D, BARTHAG, G, W, L, WIN%, EFG%, EFGD%, FTR, FTRD, TOV%, TOV%D, OREB%, DREB%, OP OREB%, OP DREB%, RAW T, 2PT%, 2PT%D, 3PT%, 3PT%D, BLK%, BLKED%, AST%, OP AST %, 2PTR, 3PTR, 2PTRD, 3PTRD, BADJ T, AVG HGT, EFF HGT, EXP, TALENT, FT%, OP FT%, PPPO, PPPD, ELITE SOS, WAB",0,,
EvanMiya.csv,816,2013,2025,"O RATE, D RATE, RELATIVE RATING, OPPONENT ADJUST, PACE ADJUST, O RATE RANK, D RATE RANK, TRUE TEMPO, TRUE TEMPO RANK, HOME RANK, KILL SHOTS PER GAME, KILL SHOTS CONCEDED PER GAME, TOTAL KILL SHOTS, TOTAL KILL SHOTS CONCEDED, RELATIVE RATING RANK, OPPONENT ADJUST RANK, PACE ADJUST RANK, KILL SHOTS PER GAME RANK, KILL SHOTS CONCEDED PER GAME RANK, TOTAL KILL SHOTS RANK, TOTAL KILL SHOTS CONCEDED RANK",4896,KILL SHOTS PER GAME:612; KILL SHOTS CONCEDED PER GAME:612; TOTAL KILL SHOTS:612; TOTAL KILL SHOTS CONCEDED:612; KILL SHOTS PER GAME RANK:612; KILL SHOTS CONCEDED PER GAME RANK:612; TOTAL KILL SHOTS RANK:612; TOTAL KILL SHOTS CONCEDED RANK:612,"O RATE, D RATE, RELATIVE RATING, OPPONENT ADJUST, PACE ADJUST, O RATE RANK, D RATE RANK, TRUE TEMPO, TRUE TEMPO RANK, HOME RANK, KILL SHOTS PER GAME, KILL SHOTS CONCEDED PER GAME, TOTAL KILL SHOTS, TOTAL KILL SHOTS CONCEDED, RELATIVE RATING RANK, OPPONENT ADJUST RANK, PACE ADJUST RANK, KILL SHOTS PER GAME RANK, KILL SHOTS CONCEDED PER GAME RANK, TOTAL KILL SHOTS RANK, TOTAL KILL SHOTS CONCEDED RANK"
Heat Check Ratings.csv,325,2013,2025,"EASY DRAW, TOUGH DRAW, DARK HORSE, UPSET ALERT, CINDERELLA",0,,"EASY DRAW, TOUGH DRAW, DARK HORSE, UPSET ALERT, CINDERELLA"
Heat Check Tournament Index.csv,768,2013,2025,"POWER, PATH, DRAW, WINS, POOL VALUE, POOL S-RANK, NCAA S-RANK, VAL Z-SCORE, POWER-PATH",256,DRAW:128; VAL Z-SCORE:128,"POWER, PATH, DRAW, WINS, POOL VALUE, POOL S-RANK, NCAA S-RANK, VAL Z-SCORE, POWER-PATH"
KenPom Barttorvik.csv,1147,2008,2025,"CONF, CONF ID, QUAD NO, QUAD ID, K TEMPO, K TEMPO RANK, KADJ T, KADJ T RANK, K OFF, KO RANK, KADJ O, KADJ O RANK, K DEF, KD RANK, KADJ D, KADJ D RANK, KADJ EM, KADJ EM RANK, BADJ EM, BADJ O, BADJ D, BARTHAG, GAMES, W, L, WIN%, EFG%, EFG%D, FTR, FTRD, TOV%, TOV%D, OREB%, DREB%, OP OREB%, OP DREB%, RAW T, 2PT%, 2PT%D, 3PT%, 3PT%D, BLK%, BLKED%, AST%, OP AST%, 2PTR, 3PTR, 2PTRD, 3PTRD, BADJ T, AVG HGT, EFF HGT, EXP, TALENT, FT%, OP FT%, PPPO, PPPD, ELITE SOS, WAB, BADJ EM RANK, BADJ O RANK, BADJ D RANK, BARTHAG RANK, EFG% RANK, EFGD% RANK, FTR RANK, FTRD RANK, TOV% RANK, TOV%D RANK, OREB% RANK, DREB% RANK, OP OREB% RANK, OP DREB% RANK, RAW T RANK, 2PT% RANK, 2PT%D RANK, 3PT% RANK, 3PT%D RANK, BLK% RANK, BLKED% RANK, AST% RANK, OP AST% RANK, 2PTR RANK, 3PTR RANK, 2PTRD RANK, 3PTRD RANK, BADJT RANK, AVG HGT RANK, EFF HGT RANK, EXP RANK, TALENT RANK, FT% RANK, OP FT% RANK, PPPO RANK, PPPD RANK, ELITE SOS RANK",0,,"QUAD NO, QUAD ID, K TEMPO, K TEMPO RANK, KADJ T, KADJ T RANK, K OFF, KO RANK, KADJ O, KADJ O RANK, K DEF, KD RANK, KADJ D, KADJ D RANK, KADJ EM, KADJ EM RANK"
KenPom Preseason.csv,884,2012,2025,"PRESEASON KADJ EM RANK, PRESEASON KADJ EM, PRESEASON KADJ O, PRESEASON KADJ O RANK, PRESEASON KADJ D, PRESEASON KADJ D RANK, PRESEASON KADJ T, PRESEASON KADJ T RANK, KADJ EM RANK CHANGE, KADJ EM CHANGE, KADJ T CHANGE",2,KADJ EM RANK CHANGE:1; KADJ EM CHANGE:1,"PRESEASON KADJ EM RANK, PRESEASON KADJ EM, PRESEASON KADJ O, PRESEASON KADJ O RANK, PRESEASON KADJ D, PRESEASON KADJ D RANK, PRESEASON KADJ T, PRESEASON KADJ T RANK, KADJ EM RANK CHANGE, KADJ EM CHANGE, KADJ T CHANGE"
Public Picks.csv,64,2025,2025,"R64, R32, S16, E8, F4, FINALS",0,,FINALS
RPPF Conference Ratings.csv,420,2012,2025,"CONF ID, CONF, CONF RANK, RPPF RATING, NPB RATING",99,NPB RATING:99,CONF RANK
RPPF Preseason Ratings.csv,680,2015,2025,"RPPF PRESEASON RANK, PRESEASON RPPF RATING, RPPF RATING CHANGE RANK, RPPF RATING CHANGE, RPPF RATING RANK CHANGE RANK",0,,"RPPF PRESEASON RANK, PRESEASON RPPF RATING, RPPF RATING CHANGE RANK, RPPF RATING CHANGE, RPPF RATING RANK CHANGE RANK"
RPPF Ratings.csv,884,2012,2025,"RPPF RATING RANK, RPPF RATING, NPB RATING RANK, NPB RATING, RADJ O RANK, RADJ O, RADJ D RANK, RADJ D, RADJ EM RANK, RADJ EM, R SOS RANK, R SOS, STROE RANK, STROE, STRDE RANK, STRDE, STRT+ RANK, STREM RANK, STREM",1292,NPB RATING RANK:204; NPB RATING:204; RADJ EM RANK:884,"RPPF RATING RANK, NPB RATING RANK, RADJ O RANK, RADJ O, RADJ D RANK, RADJ D, RADJ EM RANK, RADJ EM, R SOS RANK, R SOS, STROE RANK, STROE, STRDE RANK, STRDE, STRT+ RANK, STREM RANK, STREM"
Resumes.csv,1147,2008,2025,"NET RPI, RESUME, WAB RANK, ELO, B POWER, Q1 W, Q2 W, Q1 PLUS Q2 W, Q3 Q4 L, PLUS 500, R SCORE, BID TYPE",0,,"NET RPI, RESUME, ELO, B POWER, Q1 PLUS Q2 W, Q3 Q4 L, PLUS 500, R SCORE, BID TYPE"
Seed Results.csv,16,,,"PAKE, PAKE RANK, PASE, PASE RANK, GAMES, W, L, WIN%, R64, R32, S16, E8, F4, F2, CHAMP, TOP2, CHAMP%",0,,
