feature,perm_imp,shap_imp,norm_perm,norm_shap,combined
DIFF_AST%,0.00016406612747228605,0.15487201735377312,0.10309607030243528,0.3937179853326457,0.24840702781754048
DIFF_TR HI,0.0009364546489193217,0.05177129451185465,0.36418240897143034,0.1307520453361931,0.24746722715381173
DIFF_CLOSE TWOS FG%,0.0006897357355089594,0.07411419823765755,0.28078534131171706,0.18773925666268038,0.23426229898719872
DIFF_BADJ O,0.0010612632920744241,0.020680232532322408,0.4063708035044857,0.05145201606800329,0.22891140978624447
DIFF_LOC DISTANCE MI,0.0005888426014410598,0.07787675522267819,0.24668097771853767,0.19733593365080612,0.2220084556846719
DIFF_ADJOE,0.0009629506406177302,0.027982482500374318,0.37313870657277415,0.07007693909480002,0.22160782283378708
DIFF_PROG_W,0.0007304371627249401,0.05171680115163326,0.2945434258965508,0.13061305603234355,0.21257824096444716
DIFF_DUNKS SHARE,0.0004383667753916809,0.0833600064739585,0.19581644336758416,0.21132136731008794,0.20356890533883604
DIFF_AVG HGT,0.0005163390364817188,0.07006388939917088,0.22217298751663764,0.1774086475104859,0.19979081751356176
DIFF_ELITE SOS,0.0007246915415489596,0.03647968806326389,0.2926012644654029,0.09174968383020214,0.19217547414780253
DIFF_OP DREB%,0.0007003463889891432,0.033136583492159845,0.28437200345272945,0.08322285092530828,0.18379742718901887
DIFF_CLOSE TWOS SHARE,0.0004993679554528634,0.05698934812098742,0.21643634425221217,0.14406107299821436,0.18024870862521325
DIFF_NEUTRAL EFG%,0.0005276156209583483,0.05041563548147678,0.2259847507315791,0.12729433775266244,0.17663954424212075
DIFF_THREES FG%,0.0004365849511654762,0.05526215769350529,0.1952141429055059,0.13965574739237827,0.16743494514894208
DIFF_KADJ EM RANK CHANGE,0.00043669768751526455,0.05212680138647556,0.19525225056762652,0.13165879164100056,0.16345552110431355
DIFF_PROG_WIN%,0.0005479661707053589,0.03703374834731221,0.23286373763495008,0.09316285513873762,0.16301329638684386
DIFF_DREB%,0.00047795198165593526,0.04480327814817429,0.20919721778617428,0.1129796095813501,0.1610884136837622
DIFF_CONF_WIN%,0.00034424306586239306,0.06234727706760168,0.16400031195109613,0.15772686294656352,0.16086358744882984
DIFF_2PTRD,0.0004308593210282708,0.04611205328255892,0.19327873893770067,0.11631773635651477,0.1547982376471077
DIFF_TR NEUTRAL LAST,0.000511760760881197,0.032892155647277835,0.22062541763338972,0.08259941981620482,0.15161241872479728
DIFF_WIN%,0.0002559577228200977,0.06566103436052799,0.13415769216453355,0.16617884347041076,0.15016826781747217
DIFF_FT%,5.024731209011593e-05,0.09241260290145874,0.06462250815769953,0.23441067709714075,0.14951659262742015
DIFF_KADJ D,0.0004351819735100844,0.04038590863347054,0.19473990191265114,0.1017127853077044,0.14822634361017778
DIFF_3PT%D,0.00021125120568901977,0.0689410399645567,0.11904578857160034,0.17454473784129246,0.1467952632064464
DIFF_SEED_WIN%,0.0005547877030335518,0.017445404175668956,0.23516958352756306,0.04320134957327043,0.13918546655041675
DIFF_K DEF,0.00041342811838572974,0.03613491207361221,0.1873865632383361,0.0908703074329486,0.13912843533564234
DIFF_RES Q1 W,0.000459547117108674,0.027138250693678857,0.20297592038866663,0.06792366407884336,0.135449792233755
DIFF_K OFF,0.0004829910343140399,0.02384436745196581,0.21090054166053745,0.05952237377728338,0.1352114577189104
DIFF_SEED_MATCHUP_WINRATE,0.0003973684320916604,0.03418261595070362,0.18195799383541972,0.08589083327446718,0.13392441355494344
DIFF_TR CONSISTENCY,0.00024233563236831395,0.05306894220411777,0.1295530901769081,0.1340617907557612,0.13180744046633464
DIFF_PROG_L,0.0005264171417979174,0.013760403962805867,0.2255796352653604,0.03380248680924834,0.12969106103730438
DIFF_RES R SCORE,0.00041522010199228907,0.02596992440521717,0.18799229782112728,0.0649437623652641,0.12646803009319568
DIFF_3PT%,0.0003348718567860082,0.035645028203725816,0.1608326125372426,0.08962082276608263,0.1252267176516626
DIFF_OP AST%,0.0003365615911450937,0.03337625730782747,0.161403784356718,0.08383415653493247,0.12261897044582523
DIFF_FTRD,0.0003263504307183796,0.03305637650191784,0.15795216070444273,0.08301827712599928,0.12048521891522102
DIFF_BADJ T,0.0002858843078603979,0.0372124120593071,0.1442736147864806,0.09361855001335095,0.11894608239991578
DIFF_EFG%D,0.00036566919903968046,0.026203468441963196,0.17124287253784853,0.06553943352508369,0.1183911530314661
DIFF_SEED_GAMES,0.00036995055855615914,0.02476259833201766,0.17269007747376464,0.06186438884614797,0.1172772331599563
SEED_MATCHUP_UPSET_RATE,0.00037904549803115695,0.023329811450093985,0.17576439095979965,0.058209961031928444,0.11698717599586404
DIFF_TR NEUTRAL RATING,0.0001900806956304518,0.044785811007022856,0.11188963489314918,0.11293505835934772,0.11241234662624845
DIFF_EXP,5.5091697911656674e-05,0.06163710188120604,0.06626002984804846,0.1559155091528658,0.11108776950045714
DIFF_THREES SHARE,0.00021411877272584984,0.03745993468910456,0.1200150968377709,0.09424987459790195,0.10713248571783643
DIFF_SEED,0.00033360193424112505,0.020573385059833527,0.16040334744793808,0.05117949376879143,0.10579142060836476
DIFF_KADJ T,0.00025177861255110064,0.030709497071802615,0.1327450499919359,0.07703238936122729,0.10488871967658159
DIFF_OP FT%,0.00013010397437579257,0.042988729849457744,0.09161602631023909,0.10835147133082995,0.09998374882053451
