YEAR,TEAM NO,TEAM ID,TEAM,SEED,ROUND,CONF,CONF ID,SEED_PAKE,SEED_PAKE RANK,SEED_PASE,SEED_PASE RANK,SEED_GAMES,SEED_W,SEED_L,SEED_WIN%,SEED_R64,SEED_R32,SEED_S16,SEED_E8,SEED_F4,SEED_F2,SEED_CHAMP,SEED_TOP2,SEED_CHAMP%,PROG_PAKE,PROG_PAKE RANK,PROG_PASE,PROG_PASE RANK,PROG_GAMES,PROG_W,PROG_L,PROG_WIN%,PROG_R64,PROG_R32,PROG_S16,PROG_E8,PROG_F4,PROG_F2,PROG_CHAMP,PROG_TOP2,PROG_F4%,PROG_CHAMP%,CONF_PAKE,CONF_PAKE RANK,CONF_PASE,CONF_PASE RANK,CONF_GAMES,CONF_W,CONF_L,CONF_WIN%,CONF_R64,CONF_R32,CONF_S16,CONF_E8,CONF_F4,CONF_F2,CONF_CHAMP,CONF_TOP2,CONF_CHAMP%
2025,1119,102,Louisville,8,64,ACC,2,0.9,8,3.5,4,113,49,64,0.434,64,33,7,3,3,3,0,0,0.152,1.8,27.0,3.5,16.0,31.0,22.0,9.0,0.71,10.0,7.0,6.0,5.0,2.0,1.0,1.0,3.0,0.899,0.48700000000000004,17.5,1,12.4,1,247,157,90,0.636,95,65,43,25,12,7,5,27,0.953
2025,1118,107,Marquette,7,64,BE,8,3.2,6,2.6,7,123,60,63,0.488,64,39,12,4,3,1,1,0,0.217,-1.6,209.0,-2.5,221.0,23.0,12.0,11.0,0.522,11.0,7.0,4.0,1.0,0.0,0.0,0.0,2.0,0.514,0.095,-0.6,19,-7.3,30,232,140,92,0.603,98,63,34,19,12,6,6,23,0.9520000000000001
2025,1117,109,Maryland,4,16,B10,6,2.6,7,3.3,5,166,103,63,0.62,64,49,34,11,6,2,1,0,0.7440000000000001,0.4,68.0,-0.3,144.0,16.0,8.0,8.0,0.5,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.209,0.027999999999999997,1.5,10,4.5,5,250,146,104,0.584,104,76,39,16,10,5,0,20,0.924
2025,1116,248,McNeese St.,12,32,Slnd,29,4.0,5,2.6,6,99,35,64,0.354,64,26,8,1,0,0,0,0,0.045,-0.2,140.0,-0.5,165.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.3,12,0.4,14,16,3,13,0.188,13,3,0,0,0,0,0,0,0.003
2025,1115,111,Memphis,5,64,Amer,4,-10.1,15,-1.8,11,136,72,64,0.529,64,38,20,7,5,2,0,0,0.506,-1.0,187.0,0.1,81.0,18.0,10.0,8.0,0.556,8.0,5.0,2.0,1.0,1.0,1.0,0.0,2.0,0.727,0.325,-5.3,30,-0.6,21,50,27,23,0.54,24,14,6,3,2,1,1,3,0.512
2025,1114,114,Michigan,5,16,B10,6,-10.1,15,-1.8,11,136,72,64,0.529,64,38,20,7,5,2,0,0,0.506,7.0,5.0,7.6,5.0,35.0,24.0,11.0,0.686,11.0,9.0,7.0,4.0,2.0,2.0,0.0,3.0,0.759,0.265,1.5,10,4.5,5,250,146,104,0.584,104,76,39,16,10,5,0,20,0.924
2025,1113,115,Michigan St.,2,8,B10,6,-6.8,12,-9.9,15,202,139,63,0.688,64,57,41,26,11,3,1,64,0.9740000000000001,8.0,3.0,9.6,2.0,47.0,32.0,15.0,0.681,15.0,13.0,9.0,5.0,4.0,1.0,0.0,4.0,0.867,0.342,1.5,10,4.5,5,250,146,104,0.584,104,76,39,16,10,5,0,20,0.924
2025,1112,119,Mississippi,6,16,SEC,28,-19.6,16,-20.3,16,111,47,64,0.423,64,32,10,5,0,0,0,0,0.299,-0.6,173.0,-0.9,180.0,4.0,1.0,3.0,0.25,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.002,2.7,6,4.4,6,193,111,82,0.575,83,51,30,19,8,2,1,14,0.879
2025,1111,120,Mississippi St.,8,64,SEC,28,0.9,8,3.5,4,113,49,64,0.434,64,33,7,3,3,3,0,0,0.152,-1.8,213.0,-1.8,210.0,5.0,1.0,4.0,0.2,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076,0.004,2.7,6,4.4,6,193,111,82,0.575,83,51,30,19,8,2,1,14,0.879
2025,1110,122,Missouri,6,64,SEC,28,-19.6,16,-20.3,16,111,47,64,0.423,64,32,10,5,0,0,0,0,0.299,-2.9,229.0,-3.3,231.0,13.0,5.0,8.0,0.385,8.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.353,0.073,2.7,6,4.4,6,193,111,82,0.575,83,51,30,19,8,2,1,14,0.879
2025,1109,123,Montana,14,64,BSky,9,-6.9,13,-2.3,12,72,8,64,0.111,64,8,0,0,0,0,0,0,0.005,-1.0,186.0,-0.9,183.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,-2.6,27,-2.2,27,15,0,15,0.0,15,0,0,0,0,0,0,0,0.0
2025,1108,127,Mount St. Mary's,16,64,MAAC,16,-1.1,9,1.2,9,66,2,64,0.03,64,2,0,0,0,0,0,0,0.0,-0.1,121.0,0.0,106.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,7,2.2,9,20,5,15,0.25,15,3,1,1,0,0,0,0,0.0
2025,1107,253,Nebraska Omaha,15,64,Sum,30,4.1,4,5.4,2,76,12,64,0.158,64,7,4,1,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,-1.0,20,-0.8,22,19,3,16,0.158,16,2,1,0,0,0,0,0,0.0
2025,1106,131,New Mexico,10,32,MWC,20,-8.5,14,-2.6,13,100,36,64,0.36,64,25,7,3,1,0,0,0,0.134,-3.5,232.0,-4.4,237.0,7.0,2.0,5.0,0.286,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,0.019,-12.5,32,-15.6,31,65,23,42,0.354,42,14,6,1,1,1,0,1,0.185
