YEAR,GAME_ID,TEAM_NO_A,TEAM_A,SEED_A,SCORE_A,TEAM_NO_B,TEAM_B,SEED_B,SCORE_B,TEAM_A_WIN,PROG_GAMES_A,PROG_W_A,PROG_L_A,PROG_WIN%_A,PROG_F4%_A,PROG_CHAMP%_A,SEED_GAMES_A,SEED_W_A,SEED_L_A,SEED_WIN%_A,SEED_CHAMP%_A,CONF_GAMES_A,CONF_W_A,CONF_L_A,CONF_WIN%_A,CONF_CHAMP%_A,ADJOE_A,PROG_GAMES_B,PROG_W_B,PROG_L_B,PROG_WIN%_B,PROG_F4%_B,PROG_CHAMP%_B,SEED_GAMES_B,SEED_W_B,SEED_L_B,SEED_WIN%_B,SEED_CHAMP%_B,CONF_GAMES_B,CONF_W_B,CONF_L_B,CONF_WIN%_B,CONF_CHAMP%_B,ADJOE_B,DIFF_SEED,DIFF_ADJOE,DIFF_PROG_GAMES,DIFF_PROG_W,DIFF_PROG_L,DIFF_PROG_WIN%,DIFF_PROG_F4%,DIFF_PROG_CHAMP%,DIFF_SEED_GAMES,DIFF_SEED_W,DIFF_SEED_L,DIFF_SEED_WIN%,DIFF_SEED_CHAMP%,DIFF_CONF_GAMES,DIFF_CONF_W,DIFF_CONF_L,DIFF_CONF_WIN%,DIFF_CONF_CHAMP%
2008,1019,42,Kansas St.,11,80,10,USC,6,67,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,113.383,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,110.663,5,2.719999999999999,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1020,2,Wisconsin,3,71,56,Cal St. Fullerton,14,56,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,113.619,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,112.978,-11,0.6410000000000053,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1020,56,Cal St. Fullerton,14,56,2,Wisconsin,3,71,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,112.978,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,113.619,11,-0.6410000000000053,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1021,45,Gonzaga,7,76,51,Davidson,10,82,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,114.221,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,114.056,-3,0.16500000000000625,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1021,51,Davidson,10,82,45,Gonzaga,7,76,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,114.056,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,114.221,3,-0.16500000000000625,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1022,47,Georgetown,2,66,12,UMBC,15,47,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,114.989,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,113.762,-13,1.2270000000000039,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1022,12,UMBC,15,47,47,Georgetown,2,66,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,113.762,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,114.989,13,-1.2270000000000039,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1023,37,Memphis,1,87,9,UT Arlington,16,63,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,114.695,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,101.14,-15,13.554999999999993,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1023,9,UT Arlington,16,63,37,Memphis,1,87,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,101.14,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,114.695,15,-13.554999999999993,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1024,34,Mississippi St.,8,76,27,Oregon,9,69,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,107.347,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,119.29,-1,-11.943000000000012,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1024,27,Oregon,9,69,34,Mississippi St.,8,76,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,119.29,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,107.347,1,11.943000000000012,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1025,35,Michigan St.,5,72,17,Temple,12,61,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,115.444,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,112.696,-7,2.7480000000000047,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1025,17,Temple,12,61,35,Michigan St.,5,72,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,112.696,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,115.444,7,-2.7480000000000047,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1026,26,Pittsburgh,4,82,28,Oral Roberts,13,63,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,116.407,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,104.822,-9,11.584999999999994,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1026,28,Oral Roberts,13,63,26,Pittsburgh,4,82,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,104.822,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,116.407,9,-11.584999999999994,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1027,38,Marquette,6,74,40,Kentucky,11,66,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,113.463,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,106.849,-5,6.61399999999999,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1027,40,Kentucky,11,66,38,Marquette,6,74,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,106.849,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,113.463,5,-6.61399999999999,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1028,18,Stanford,3,77,52,Cornell,14,53,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,113.328,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,110.651,-11,2.6770000000000067,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1028,52,Cornell,14,53,18,Stanford,3,77,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,110.651,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,113.328,11,-2.6770000000000067,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1029,36,Miami FL,7,78,22,Saint Mary's,10,64,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,112.167,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,110.005,-3,2.162000000000006,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1029,22,Saint Mary's,10,64,36,Miami FL,7,78,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,110.005,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,112.167,3,-2.162000000000006,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1030,15,Texas,2,74,62,Austin Peay,15,54,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,119.757,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,104.504,-13,15.253,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1030,62,Austin Peay,15,54,15,Texas,2,74,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,104.504,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,119.757,13,-15.253,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1031,13,UCLA,1,70,33,Mississippi Valley St.,16,29,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,118.735,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,92.1127,-15,26.622299999999996,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1031,33,Mississippi Valley St.,16,29,13,UCLA,1,70,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,92.1127,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,118.735,15,-26.622299999999996,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1032,57,BYU,8,62,14,Texas A&M,9,67,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,106.852,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,112.029,-1,-5.1769999999999925,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1032,14,Texas A&M,9,67,57,BYU,8,62,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,112.029,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,106.852,1,5.1769999999999925,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1033,50,Drake,5,99,4,Western Kentucky,12,101,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,119.786,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,111.076,-7,8.710000000000008,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1033,4,Western Kentucky,12,101,50,Drake,5,99,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,111.076,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,119.786,7,-8.710000000000008,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1034,54,Connecticut,4,69,21,San Diego,13,70,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,115.173,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,101.501,-9,13.671999999999997,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1034,21,San Diego,13,70,54,Connecticut,4,69,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,101.501,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,115.173,9,-13.671999999999997,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1035,24,Purdue,6,90,61,Baylor,11,79,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,109.692,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,115.389,-5,-5.697000000000003,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1035,61,Baylor,11,79,24,Purdue,6,90,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,115.389,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,109.692,5,5.697000000000003,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1036,1,Xavier,3,73,46,Georgia,14,61,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,116.413,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,104.018,-11,12.394999999999996,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1036,46,Georgia,14,61,1,Xavier,3,73,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,104.018,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,116.413,11,-12.394999999999996,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1037,5,West Virginia,7,75,64,Arizona,10,65,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,113.57,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,116.577,-3,-3.007000000000005,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
2008,1037,64,Arizona,10,65,5,West Virginia,7,75,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,116.577,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,113.57,3,3.007000000000005,-0.0,-0.0,-0.0,,,,0,0,0,,,-0.0,-0.0,-0.0,,
2008,1038,49,Duke,2,71,60,Belmont,15,70,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,117.443,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,109.436,-13,8.00699999999999,0.0,0.0,0.0,,,,0,0,0,,,0.0,0.0,0.0,,
